project_id,project_name,building_type,climate_zone,gross_floor_area_m2,num_floors,water_saving_rate,recycled_material_ratio,ieq_score,renewable_energy_rate,site_density_score,leed_total_score,leed_rating,additional_construction_cost_usd
PRJ-0034,Synthetic Green Building 34,Office,3A,84628,28,0.497,0.099,9.8,0.176,9.64,69.6,Gold,9626653.0
PRJ-0035,Synthetic Green Building 35,Office,3A,69132,33,0.384,0.088,5.11,0.238,2.25,47.2,Certified,5035640.0
PRJ-0036,Synthetic Green Building 36,Retail,4A,67894,20,0.075,0.15,4.53,0.274,9.69,54.6,Silver,3986316.0
PRJ-0037,Synthetic Green Building 37,Multifamily,2A,60272,15,0.382,0.052,15.39,0.019,6.99,81.1,Platinum,6174692.0
PRJ-0038,Synthetic Green Building 38,Multifamily,4A,53829,23,0.35,0.121,10.66,0.19,8.16,63.4,Gold,4162272.0
PRJ-0039,Synthetic Green Building 39,Healthcare,2A,30634,7,0.436,0.085,4.63,0.315,6.72,68.1,Gold,3672117.0
PRJ-0040,Synthetic Green Building 40,Multifamily,6A,84089,30,0.157,0.225,9.88,0.147,8.83,72.7,Gold,7235512.0
PRJ-0041,Synthetic Green Building 41,Office,6A,40964,14,0.527,0.18,9.8,0.246,3.94,55.8,Silver,3735302.0
PRJ-0042,Synthetic Green Building 42,Multifamily,5A,20262,5,0.493,0.276,9.01,0.031,7.37,81.0,Platinum,2555455.0
PRJ-0043,Synthetic Green Building 43,Education,2A,72219,20,0.107,0.148,14.94,0.28,3.38,56.2,Silver,3890196.0
PRJ-0044,Synthetic Green Building 44,Retail,5A,15717,4,0.208,0.044,14.91,0.186,5.58,54.5,Silver,1517161.0
PRJ-0045,Synthetic Green Building 45,Office,6A,73239,17,0.066,0.169,5.44,0.284,7.13,60.9,Gold,4066043.0
PRJ-0046,Synthetic Green Building 46,Multifamily,6A,53034,32,0.465,0.347,5.74,0.252,2.81,78.5,Gold,7788889.0
PRJ-0047,Synthetic Green Building 47,Healthcare,6A,11963,4,0.508,0.137,8.69,0.278,1.55,59.5,Silver,1205126.0
PRJ-0048,Synthetic Green Building 48,Healthcare,1A,6125,1,0.545,0.2,13.59,0.018,8.12,78.1,Gold,666727.0
PRJ-0049,Synthetic Green Building 49,Multifamily,1A,39192,18,0.356,0.347,11.17,0.229,8.28,65.5,Gold,4201609.0
PRJ-0050,Synthetic Green Building 50,Education,5A,5443,4,0.383,0.201,12.39,0.063,6.99,73.9,Gold,747056.0
PRJ-0051,Synthetic Green Building 51,Office,2A,14178,4,0.389,0.403,10.62,0.085,3.89,62.9,Gold,1645396.0
PRJ-0052,Synthetic Green Building 52,Healthcare,3A,44978,13,0.335,0.416,6.42,0.104,6.92,62.3,Gold,5421862.0
PRJ-0053,Synthetic Green Building 53,Healthcare,3A,82546,24,0.526,0.16,13.4,0.189,1.75,79.2,Gold,10542752.0
PRJ-0054,Synthetic Green Building 54,Office,5A,40961,11,0.354,0.339,4.16,0.201,6.96,60.2,Gold,3844177.0
PRJ-0055,Synthetic Green Building 55,Education,5A,69196,22,0.218,0.136,12.03,0.298,6.19,70.6,Gold,6122809.0
PRJ-0056,Synthetic Green Building 56,Education,2A,78166,48,0.306,0.089,6.23,0.004,6.55,59.8,Silver,8730998.0
PRJ-0057,Synthetic Green Building 57,Retail,5A,70435,18,0.059,0.214,9.42,0.062,5.02,74.9,Gold,8559418.0
PRJ-0058,Synthetic Green Building 58,Retail,3A,54411,22,0.412,0.283,15.21,0.116,3.03,62.9,Gold,5524246.0
PRJ-0059,Synthetic Green Building 59,Office,4A,38915,10,0.397,0.423,10.2,0.262,7.53,76.1,Gold,4234078.0
PRJ-0060,Synthetic Green Building 60,Retail,5A,44914,12,0.261,0.091,4.65,0.176,5.18,39.9,Not Certified,2821798.0
PRJ-0061,Synthetic Green Building 61,Multifamily,2A,24467,5,0.476,0.329,8.93,0.164,7.71,63.5,Gold,2860727.0
PRJ-0062,Synthetic Green Building 62,Office,1A,43492,35,0.428,0.23,11.59,0.243,4.28,79.6,Gold,5653487.0
PRJ-0063,Synthetic Green Building 63,Retail,4A,33798,8,0.218,0.085,4.65,0.21,1.79,38.3,Not Certified,1859260.0
PRJ-0064,Synthetic Green Building 64,Multifamily,2A,22919,7,0.089,0.439,6.91,0.093,5.88,65.9,Gold,2756954.0
PRJ-0065,Synthetic Green Building 65,Healthcare,2A,84443,31,0.116,0.322,4.21,0.028,6.6,43.2,Certified,6257846.0
PRJ-0066,Synthetic Green Building 66,Healthcare,3A,3473,1,0.142,0.084,10.21,0.148,9.3,67.9,Gold,337795.0
PRJ-0067,Synthetic Green Building 67,Education,6A,10518,2,0.202,0.41,8.39,0.282,8.99,65.6,Gold,1042009.0
PRJ-0068,Synthetic Green Building 68,Healthcare,6A,18373,6,0.274,0.073,9.79,0.191,1.51,54.0,Silver,1395377.0
PRJ-0069,Synthetic Green Building 69,Healthcare,5A,82444,56,0.514,0.069,7.4,0.017,7.95,63.3,Gold,10521390.0
PRJ-0070,Synthetic Green Building 70,Multifamily,2A,59592,17,0.189,0.169,11.55,0.141,3.35,65.0,Gold,5058942.0
PRJ-0071,Synthetic Green Building 71,Retail,6A,75252,39,0.499,0.424,5.99,0.123,7.27,72.7,Gold,8783717.0
PRJ-0072,Synthetic Green Building 72,Multifamily,5A,19050,10,0.39,0.044,14.43,0.186,4.42,56.3,Silver,1141418.0
PRJ-0073,Synthetic Green Building 73,Retail,1A,61980,34,0.477,0.416,15.04,0.188,3.9,71.3,Gold,8003502.0
PRJ-0074,Synthetic Green Building 74,Retail,2A,32986,18,0.252,0.287,9.67,0.304,5.39,68.4,Gold,3110394.0
PRJ-0075,Synthetic Green Building 75,Retail,1A,42843,10,0.052,0.058,9.35,0.108,5.77,65.2,Gold,5096739.0
PRJ-0076,Synthetic Green Building 76,Healthcare,2A,2808,1,0.443,0.269,13.89,0.131,7.25,67.0,Gold,194232.0
PRJ-0077,Synthetic Green Building 77,Office,5A,53447,35,0.173,0.223,7.33,0.196,6.74,71.2,Gold,5193053.0
PRJ-0078,Synthetic Green Building 78,Education,4A,70978,40,0.121,0.267,13.24,0.284,7.1,75.9,Gold,6638290.0
PRJ-0079,Synthetic Green Building 79,Multifamily,1A,57254,24,0.45,0.34,7.3,0.226,4.46,65.1,Gold,7445895.0
PRJ-0080,Synthetic Green Building 80,Multifamily,4A,15243,6,0.393,0.315,12.28,0.151,7.1,60.4,Gold,1109055.0
PRJ-0081,Synthetic Green Building 81,Retail,4A,46538,21,0.156,0.449,7.84,0.261,4.11,60.6,Gold,5806195.0
PRJ-0082,Synthetic Green Building 82,Healthcare,6A,24576,6,0.184,0.096,10.93,0.155,6.47,52.3,Silver,1824811.0
PRJ-0083,Synthetic Green Building 83,Healthcare,2A,82103,21,0.52,0.371,14.65,0.308,5.14,65.9,Gold,7351143.0
PRJ-0084,Synthetic Green Building 84,Multifamily,6A,75127,25,0.184,0.203,4.62,0.09,6.07,60.5,Gold,7795588.0
PRJ-0085,Synthetic Green Building 85,Education,4A,17864,4,0.401,0.359,13.28,0.041,1.16,56.8,Silver,1688517.0
PRJ-0086,Synthetic Green Building 86,Retail,2A,44557,20,0.115,0.405,10.23,0.266,5.49,68.0,Gold,4557897.0
PRJ-0087,Synthetic Green Building 87,Healthcare,2A,80029,49,0.458,0.447,8.36,0.095,2.98,66.9,Gold,10932017.0
PRJ-0088,Synthetic Green Building 88,Education,5A,72389,35,0.109,0.142,8.03,0.271,4.47,62.1,Gold,7907795.0
PRJ-0089,Synthetic Green Building 89,Retail,5A,60903,41,0.308,0.22,4.8,0.195,1.66,50.2,Silver,6184752.0
PRJ-0090,Synthetic Green Building 90,Multifamily,4A,55276,13,0.068,0.426,6.97,0.163,6.91,74.4,Gold,6953762.0
PRJ-0091,Synthetic Green Building 91,Office,3A,5974,3,0.325,0.427,11.17,0.028,9.04,70.3,Gold,667756.0
PRJ-0092,Synthetic Green Building 92,Healthcare,3A,63696,25,0.473,0.187,5.12,0.252,4.19,70.6,Gold,6953534.0
PRJ-0093,Synthetic Green Building 93,Healthcare,4A,41564,23,0.092,0.425,11.7,0.021,1.95,70.3,Gold,5143402.0
PRJ-0094,Synthetic Green Building 94,Retail,5A,10048,2,0.187,0.2,15.07,0.309,6.58,82.2,Platinum,946425.0
PRJ-0095,Synthetic Green Building 95,Retail,2A,22670,13,0.432,0.187,15.28,0.281,2.14,72.8,Gold,2350178.0
PRJ-0096,Synthetic Green Building 96,Retail,6A,47144,17,0.354,0.348,14.23,0.097,9.02,74.4,Gold,4522630.0
PRJ-0097,Synthetic Green Building 97,Retail,2A,62459,15,0.206,0.228,13.28,0.041,2.1,74.9,Gold,5751739.0
PRJ-0098,Synthetic Green Building 98,Healthcare,3A,44391,16,0.364,0.218,6.05,0.283,4.26,53.0,Silver,4543860.0
PRJ-0099,Synthetic Green Building 99,Office,2A,53068,13,0.277,0.192,15.16,0.154,5.45,79.7,Gold,5246700.0
PRJ-0100,Synthetic Green Building 100,Education,6A,74385,19,0.481,0.212,6.33,0.04,2.06,61.5,Gold,6526214.0
PRJ-0101,Synthetic Green Building 101,Office,2A,59096,16,0.196,0.089,13.99,0.16,3.87,65.2,Gold,4976704.0
PRJ-0102,Synthetic Green Building 102,Retail,1A,32304,9,0.429,0.056,14.1,0.079,3.48,74.0,Gold,3311023.0
PRJ-0103,Synthetic Green Building 103,Retail,5A,55567,18,0.368,0.347,11.15,0.131,7.42,74.6,Gold,5642208.0
PRJ-0104,Synthetic Green Building 104,Education,1A,51850,17,0.42,0.267,10.0,0.205,9.88,64.0,Gold,4759373.0
PRJ-0105,Synthetic Green Building 105,Multifamily,6A,11428,3,0.239,0.312,6.3,0.293,4.27,69.4,Gold,1432254.0
PRJ-0106,Synthetic Green Building 106,Office,5A,7388,2,0.412,0.367,9.97,0.256,8.12,64.5,Gold,820768.0
PRJ-0107,Synthetic Green Building 107,Education,6A,56962,14,0.399,0.127,7.34,0.052,2.26,59.9,Silver,7777562.0
PRJ-0108,Synthetic Green Building 108,Multifamily,2A,34479,8,0.244,0.128,5.45,0.153,6.22,59.6,Silver,4192233.0
PRJ-0109,Synthetic Green Building 109,Healthcare,5A,51862,22,0.063,0.147,5.47,0.157,4.89,51.3,Silver,4139225.0
PRJ-0110,Synthetic Green Building 110,Multifamily,4A,29150,11,0.531,0.158,13.21,0.317,3.59,76.4,Gold,3358255.0
PRJ-0111,Synthetic Green Building 111,Office,3A,21116,6,0.407,0.349,14.61,0.028,8.4,64.9,Gold,1655948.0
PRJ-0112,Synthetic Green Building 112,Office,3A,14891,3,0.152,0.187,5.63,0.163,7.72,48.7,Certified,1145713.0
PRJ-0113,Synthetic Green Building 113,Healthcare,1A,33980,22,0.415,0.166,4.15,0.293,2.21,73.5,Gold,4785151.0
PRJ-0114,Synthetic Green Building 114,Multifamily,1A,69847,49,0.189,0.297,7.03,0.128,3.63,64.2,Gold,6387238.0
PRJ-0115,Synthetic Green Building 115,Retail,1A,35582,18,0.285,0.108,5.55,0.084,8.38,62.0,Gold,3041931.0
PRJ-0116,Synthetic Green Building 116,Education,5A,33804,13,0.48,0.075,6.17,0.178,9.93,65.4,Gold,3764518.0
PRJ-0117,Synthetic Green Building 117,Office,2A,49969,29,0.274,0.323,10.71,0.102,6.5,68.6,Gold,6021514.0
PRJ-0118,Synthetic Green Building 118,Office,5A,83246,30,0.194,0.348,8.86,0.297,8.85,71.9,Gold,8505667.0
PRJ-0119,Synthetic Green Building 119,Multifamily,5A,34860,12,0.203,0.154,8.94,0.027,9.86,61.6,Gold,3382935.0
PRJ-0120,Synthetic Green Building 120,Multifamily,1A,51174,12,0.089,0.297,6.36,0.066,7.66,42.8,Certified,3753263.0
PRJ-0121,Synthetic Green Building 121,Office,2A,38757,11,0.16,0.044,11.64,0.027,6.8,59.1,Silver,2688218.0
PRJ-0122,Synthetic Green Building 122,Education,2A,52417,26,0.186,0.2,7.33,0.228,2.99,66.6,Gold,3626565.0
PRJ-0123,Synthetic Green Building 123,Education,1A,39270,11,0.136,0.273,8.59,0.094,4.33,48.1,Certified,4060477.0
PRJ-0124,Synthetic Green Building 124,Retail,5A,55134,15,0.082,0.136,9.33,0.288,6.61,77.0,Gold,5727811.0
PRJ-0125,Synthetic Green Building 125,Office,3A,47640,14,0.283,0.176,14.4,0.286,9.34,72.4,Gold,3922967.0
PRJ-0126,Synthetic Green Building 126,Multifamily,6A,58307,18,0.157,0.286,6.83,0.3,3.72,57.9,Silver,6203372.0
PRJ-0127,Synthetic Green Building 127,Education,6A,81433,38,0.419,0.278,12.26,0.082,4.56,70.3,Gold,9148549.0
PRJ-0128,Synthetic Green Building 128,Education,6A,14940,4,0.511,0.095,7.56,0.0,1.2,51.6,Silver,1732495.0
PRJ-0129,Synthetic Green Building 129,Healthcare,5A,48834,30,0.186,0.327,14.29,0.124,7.27,79.8,Gold,7138807.0
PRJ-0130,Synthetic Green Building 130,Office,4A,38825,12,0.336,0.064,8.53,0.308,4.99,77.4,Gold,4096774.0
PRJ-0131,Synthetic Green Building 131,Multifamily,3A,32034,8,0.303,0.437,9.81,0.244,8.18,66.5,Gold,2902391.0
PRJ-0132,Synthetic Green Building 132,Multifamily,3A,22264,5,0.088,0.115,14.09,0.019,3.1,52.9,Silver,1492464.0
PRJ-0133,Synthetic Green Building 133,Multifamily,4A,6811,3,0.112,0.136,11.74,0.225,6.94,73.1,Gold,658628.0
PRJ-0134,Synthetic Green Building 134,Retail,3A,35706,16,0.492,0.114,5.09,0.293,7.06,60.3,Gold,3993795.0
PRJ-0135,Synthetic Green Building 135,Education,6A,70658,23,0.287,0.446,5.57,0.31,5.18,74.3,Gold,7591048.0
PRJ-0136,Synthetic Green Building 136,Multifamily,2A,10478,4,0.452,0.15,15.39,0.229,2.7,57.2,Silver,699024.0
PRJ-0137,Synthetic Green Building 137,Office,3A,36003,10,0.083,0.284,4.33,0.276,4.63,67.4,Gold,3930074.0
PRJ-0138,Synthetic Green Building 138,Healthcare,3A,82345,45,0.347,0.446,7.46,0.269,7.71,58.1,Silver,7262918.0
PRJ-0139,Synthetic Green Building 139,Education,2A,80996,47,0.483,0.429,15.03,0.115,2.7,74.9,Gold,9709827.0
PRJ-0140,Synthetic Green Building 140,Retail,2A,20237,14,0.484,0.048,4.17,0.032,1.81,44.3,Certified,1276689.0
PRJ-0141,Synthetic Green Building 141,Healthcare,4A,3126,1,0.053,0.249,5.86,0.233,5.17,42.7,Certified,305062.0
PRJ-0142,Synthetic Green Building 142,Multifamily,1A,57920,31,0.311,0.283,6.45,0.044,3.11,62.9,Gold,7713757.0
PRJ-0143,Synthetic Green Building 143,Healthcare,5A,3676,1,0.235,0.325,4.99,0.123,8.2,61.4,Gold,444461.0
PRJ-0144,Synthetic Green Building 144,Healthcare,3A,27284,6,0.43,0.171,9.43,0.319,8.36,66.7,Gold,2966835.0
PRJ-0145,Synthetic Green Building 145,Healthcare,5A,43507,11,0.087,0.168,10.81,0.179,9.51,77.5,Gold,5018558.0
PRJ-0146,Synthetic Green Building 146,Education,1A,74611,20,0.182,0.032,7.66,0.167,8.56,53.2,Silver,5529691.0
PRJ-0147,Synthetic Green Building 147,Multifamily,5A,10160,3,0.456,0.045,5.25,0.303,6.83,53.7,Silver,939465.0
PRJ-0148,Synthetic Green Building 148,Healthcare,3A,57132,37,0.285,0.261,13.33,0.091,2.68,72.1,Gold,6762444.0
PRJ-0149,Synthetic Green Building 149,Education,6A,46475,13,0.277,0.062,13.25,0.32,8.41,64.9,Gold,3211931.0
PRJ-0150,Synthetic Green Building 150,Office,5A,13358,4,0.534,0.115,10.46,0.292,7.55,73.5,Gold,1112676.0
PRJ-0151,Synthetic Green Building 151,Education,5A,72263,18,0.21,0.17,5.58,0.116,7.72,63.1,Gold,8618843.0
PRJ-0152,Synthetic Green Building 152,Healthcare,4A,72218,27,0.071,0.06,10.23,0.105,7.28,60.7,Gold,8012650.0
PRJ-0153,Synthetic Green Building 153,Education,1A,42322,24,0.246,0.043,11.24,0.041,8.47,52.8,Silver,2193252.0
PRJ-0154,Synthetic Green Building 154,Healthcare,6A,80458,26,0.127,0.419,8.93,0.293,3.68,73.9,Gold,8580729.0
PRJ-0155,Synthetic Green Building 155,Healthcare,3A,52566,20,0.091,0.213,13.93,0.059,7.05,76.1,Gold,6580184.0
PRJ-0156,Synthetic Green Building 156,Office,6A,77073,24,0.334,0.116,8.49,0.003,5.66,57.0,Silver,7209092.0
PRJ-0157,Synthetic Green Building 157,Education,4A,81748,35,0.527,0.328,9.88,0.285,4.04,60.0,Gold,6376163.0
PRJ-0158,Synthetic Green Building 158,Retail,4A,49501,23,0.34,0.034,5.31,0.191,3.94,58.5,Silver,5017970.0
PRJ-0159,Synthetic Green Building 159,Retail,2A,25670,16,0.374,0.133,10.48,0.215,2.4,54.4,Silver,1885570.0
PRJ-0160,Synthetic Green Building 160,Education,6A,14500,3,0.212,0.434,12.81,0.235,5.42,81.9,Platinum,1978435.0
PRJ-0161,Synthetic Green Building 161,Multifamily,5A,48934,14,0.336,0.407,12.41,0.014,4.32,63.3,Gold,4890810.0
PRJ-0162,Synthetic Green Building 162,Education,3A,18378,7,0.426,0.297,6.96,0.029,4.79,57.3,Silver,1963260.0
PRJ-0163,Synthetic Green Building 163,Retail,3A,64393,33,0.345,0.069,15.41,0.16,8.67,64.4,Gold,4047919.0
PRJ-0164,Synthetic Green Building 164,Healthcare,5A,79052,25,0.451,0.164,12.28,0.016,7.13,69.5,Gold,7412041.0
PRJ-0165,Synthetic Green Building 165,Retail,1A,22749,9,0.325,0.042,8.87,0.161,7.12,65.1,Gold,2326935.0
PRJ-0166,Synthetic Green Building 166,Healthcare,2A,48066,15,0.149,0.122,8.77,0.236,9.86,65.9,Gold,4174904.0
PRJ-0167,Synthetic Green Building 167,Office,1A,6556,4,0.341,0.041,12.96,0.21,2.96,54.9,Silver,436891.0
PRJ-0168,Synthetic Green Building 168,Retail,4A,17395,9,0.295,0.083,6.02,0.197,5.57,67.4,Gold,2396546.0
PRJ-0169,Synthetic Green Building 169,Education,3A,33616,9,0.133,0.296,11.36,0.015,1.83,46.0,Certified,2389666.0
PRJ-0170,Synthetic Green Building 170,Education,6A,75434,54,0.36,0.072,12.27,0.076,4.54,52.9,Silver,5459851.0
PRJ-0171,Synthetic Green Building 171,Retail,6A,82484,25,0.458,0.095,9.94,0.287,9.55,68.4,Gold,7190606.0
PRJ-0172,Synthetic Green Building 172,Education,4A,55429,22,0.118,0.409,14.04,0.039,1.77,51.9,Silver,3712890.0
PRJ-0173,Synthetic Green Building 173,Retail,5A,50634,41,0.322,0.171,9.39,0.171,7.82,64.8,Gold,5223659.0
PRJ-0174,Synthetic Green Building 174,Education,4A,49499,14,0.417,0.17,9.35,0.016,8.79,75.3,Gold,6439128.0
PRJ-0175,Synthetic Green Building 175,Multifamily,3A,7500,2,0.252,0.066,7.27,0.301,5.58,67.5,Gold,667638.0
PRJ-0176,Synthetic Green Building 176,Education,5A,33543,9,0.185,0.364,14.57,0.055,8.18,63.6,Gold,2917936.0
PRJ-0177,Synthetic Green Building 177,Education,3A,83624,21,0.236,0.314,7.64,0.131,4.97,62.2,Gold,6707168.0
PRJ-0178,Synthetic Green Building 178,Multifamily,2A,36403,10,0.321,0.26,12.0,0.175,4.18,65.4,Gold,3490891.0
PRJ-0179,Synthetic Green Building 179,Multifamily,1A,20098,5,0.393,0.29,8.71,0.23,5.55,69.5,Gold,2363650.0
PRJ-0180,Synthetic Green Building 180,Healthcare,5A,22257,14,0.33,0.072,14.76,0.3,2.75,71.4,Gold,1898927.0
