project_id,baseline_energy_kwh,proposed_energy_kwh,energy_cost_per_kwh,emissions_factor_kg_co2_per_kwh
PRJ-0116,10461231.0,6983027.0,0.157,0.38
PRJ-0117,14988936.0,9920045.0,0.152,0.322
PRJ-0118,23650117.0,16631159.0,0.101,0.443
PRJ-0119,9524592.0,7380827.0,0.137,0.341
PRJ-0120,10755658.0,9457097.0,0.152,0.492
PRJ-0121,9720364.0,8079931.0,0.12,0.398
PRJ-0122,9195699.0,7642677.0,0.135,0.506
PRJ-0123,10615332.0,8178819.0,0.178,0.342
PRJ-0124,14887225.0,7747523.0,0.147,0.434
PRJ-0125,12577613.0,10123433.0,0.135,0.343
PRJ-0126,12733773.0,9717819.0,0.096,0.499
PRJ-0127,16889184.0,13451963.0,0.101,0.449
PRJ-0128,3201077.0,2254108.0,0.167,0.374
PRJ-0129,7349565.0,3990260.0,0.157,0.541
PRJ-0130,11038445.0,6278755.0,0.165,0.477
PRJ-0131,7511686.0,5964721.0,0.142,0.397
PRJ-0132,4651853.0,3919482.0,0.142,0.517
PRJ-0133,1603478.0,915369.0,0.138,0.407
PRJ-0134,9428906.0,7002974.0,0.156,0.537
PRJ-0135,14692698.0,9673113.0,0.12,0.388
PRJ-0136,2955380.0,2741859.0,0.135,0.546
PRJ-0137,10682502.0,6182120.0,0.132,0.334
PRJ-0138,17204039.0,14146801.0,0.15,0.489
PRJ-0139,13586242.0,10086537.0,0.109,0.387
PRJ-0140,5473331.0,4777511.0,0.092,0.417
PRJ-0141,965423.0,748293.0,0.098,0.466
PRJ-0142,9812693.0,5845014.0,0.106,0.331
PRJ-0143,965286.0,575180.0,0.167,0.371
PRJ-0144,7671670.0,5765907.0,0.155,0.344
PRJ-0145,12916983.0,8035905.0,0.157,0.49
PRJ-0146,12337521.0,9357400.0,0.13,0.371
PRJ-0147,1627110.0,1294729.0,0.099,0.435
PRJ-0148,17596588.0,12666180.0,0.132,0.396
PRJ-0149,7634208.0,6652525.0,0.168,0.374
PRJ-0150,2326606.0,1909476.0,0.136,0.535
PRJ-0151,17333526.0,11251666.0,0.147,0.437
PRJ-0152,15789386.0,9804796.0,0.124,0.47
PRJ-0153,11376776.0,10637837.0,0.104,0.482
PRJ-0154,14196166.0,9050858.0,0.146,0.509
PRJ-0155,15553259.0,9337101.0,0.134,0.381
PRJ-0156,13937662.0,10649974.0,0.121,0.338
PRJ-0157,22227552.0,20727643.0,0.113,0.427
PRJ-0158,7729808.0,5097949.0,0.153,0.359
PRJ-0159,5727270.0,4877847.0,0.119,0.325
PRJ-0160,2180396.0,1475960.0,0.142,0.532
PRJ-0161,9629172.0,7648318.0,0.113,0.464
PRJ-0162,3611609.0,2454623.0,0.158,0.415
PRJ-0163,16984201.0,14375778.0,0.124,0.351
PRJ-0164,17397597.0,13053829.0,0.133,0.495
PRJ-0165,3511712.0,2560541.0,0.173,0.443
PRJ-0166,14863674.0,10142290.0,0.155,0.36
PRJ-0167,1911962.0,1664566.0,0.156,0.546
PRJ-0168,5152285.0,2765219.0,0.121,0.539
PRJ-0169,6241986.0,5198196.0,0.166,0.533
PRJ-0170,15843267.0,13076258.0,0.125,0.51
PRJ-0171,15052061.0,12752446.0,0.179,0.442
PRJ-0172,9179572.0,8539852.0,0.171,0.389
PRJ-0173,7617832.0,5895546.0,0.149,0.47
PRJ-0174,11288272.0,7003154.0,0.165,0.355
PRJ-0175,1239878.0,803181.0,0.139,0.462
PRJ-0176,5839508.0,5103427.0,0.156,0.335
PRJ-0177,23998289.0,21592460.0,0.101,0.323
PRJ-0178,8187037.0,6701677.0,0.179,0.485
PRJ-0179,3523402.0,2191442.0,0.162,0.399
PRJ-0180,5687279.0,4238420.0,0.103,0.48
